ID,Active,Exam,Subject,Topic,PublishDate,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,ExplanationA,ExplanationB,ExplanationC,ExplanationD
POL-001,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,"Which Article of the Constitution guarantees equality before the law and equal protection of the laws?",Article 12,Article 14,Article 19,Article 21,B,"Article 12 defines the term State for Part III; it does not itself grant the equality guarantee.","Article 14 guarantees equality before the law and equal protection of the laws to every person.","Article 19 protects six specified freedoms of citizens, including speech and movement.","Article 21 protects life and personal liberty except according to procedure established by law."
POL-002,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,"Who has the final constitutional authority to certify whether a Bill is a Money Bill?",President of India,Prime Minister,Speaker of the Lok Sabha,Chairman of the Rajya Sabha,C,"The President gives or withholds assent after passage but does not certify a Bill as a Money Bill.","The Prime Minister may lead the government but has no constitutional power to certify a Money Bill.","Under Article 110(3), the decision of the Speaker of the Lok Sabha is final when a question arises whether a Bill is a Money Bill.","The Rajya Sabha Chairman presides over the Upper House but does not certify Money Bills."
POL-003,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,Which Article primarily lays down the procedure for amendment of the Constitution?,Article 32,Article 123,Article 356,Article 368,D,"Article 32 guarantees the right to move the Supreme Court for enforcement of Fundamental Rights.","Article 123 concerns the President's ordinance-making power when Parliament is not in session.","Article 356 deals with failure of constitutional machinery in a State.","Article 368 gives Parliament constituent power and lays down the main procedure for constitutional amendment."
POL-004,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,"Which statement best describes the Directive Principles of State Policy?",They are directly enforceable by courts,They are fundamental in governance but not enforceable by courts,They apply only during a national emergency,They can be suspended by a Governor,B,"Article 37 expressly makes the Directive Principles non-justiciable, so courts cannot directly enforce them.","Article 37 says they are not enforceable by courts but are fundamental in the governance of the country.","They guide ordinary governance and are not limited to periods of national emergency.","A Governor has no general constitutional power to suspend the Directive Principles."
POL-005,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,The Fundamental Duties were inserted into the Constitution mainly by which amendment?,24th Amendment,42nd Amendment,44th Amendment,52nd Amendment,B,"The 24th Amendment affirmed Parliament's power to amend the Constitution and addressed presidential assent to amendment Bills.","The 42nd Amendment of 1976 inserted Part IVA and Article 51A containing Fundamental Duties.","The 44th Amendment revised emergency provisions and restored several safeguards after the Emergency period.","The 52nd Amendment added the Tenth Schedule dealing with defection."
POL-006,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,The President of India may be impeached for which constitutional ground?,Loss of majority in the Lok Sabha,Violation of the Constitution,Disagreement with the Council of Ministers,Incapacity certified by the Chief Justice,B,"The President does not depend on a Lok Sabha majority in the manner of a Council of Ministers.","Article 61 provides impeachment of the President for violation of the Constitution.","The President normally acts on ministerial advice; mere disagreement is not a ground for impeachment.","The Constitution does not prescribe this as the ground or method for removing the President."
POL-007,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,What is the maximum strength of the Rajya Sabha permitted by the Constitution?,238,245,250,252,C,"Two hundred and thirty-eight is the maximum number of representatives of States and Union territories, excluding nominated members.","Two hundred and forty-five has commonly been the actual sanctioned strength, not the constitutional maximum in Article 80.","Article 80 permits a maximum of 250 members: up to 238 representatives plus 12 nominated members.","The Constitution does not prescribe 252 as the maximum strength of the Rajya Sabha."
POL-008,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,"Article 131 of the Constitution relates to which jurisdiction of the Supreme Court?",Advisory jurisdiction,Original jurisdiction in specified federal disputes,Appellate jurisdiction in criminal cases,Review jurisdiction,B,"Advisory jurisdiction is principally provided under Article 143.","Article 131 grants original jurisdiction in specified disputes involving the Union and one or more States or between States.","Criminal appellate jurisdiction is addressed mainly by Articles 132 to 134 and related law.","The Supreme Court's power to review its judgments is provided by Article 137."
POL-009,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,The anti-defection provisions are contained in which Schedule of the Constitution?,Seventh Schedule,Eighth Schedule,Ninth Schedule,Tenth Schedule,D,"The Seventh Schedule distributes legislative subjects through the Union, State and Concurrent Lists.","The Eighth Schedule lists the languages recognized by the Constitution.","The Ninth Schedule contains certain laws given specified constitutional protection, subject to judicial review principles.","The Tenth Schedule contains the anti-defection law introduced by the 52nd Amendment."
POL-010,TRUE,UPSC/TNPSC,Indian Polity,Indian Polity,,Which Article establishes the office of the Comptroller and Auditor-General of India?,Article 148,Article 280,Article 315,Article 324,A,"Article 148 establishes the Comptroller and Auditor-General of India and provides key safeguards for the office.","Article 280 provides for the Finance Commission.","Article 315 provides for Union and State Public Service Commissions.","Article 324 vests the supervision, direction and control of elections in the Election Commission."
