"ID","Active","Exam","Topic","Subtopic","PublishDate","Question","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","ExplanationA","ExplanationB","ExplanationC","ExplanationD"
"FALLBACK-001","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Indian Polity","","Which Article of the Constitution guarantees equality before law and equal protection of the laws?","Article 14","Article 19","Article 21","Article 32","A","Correct. Article 14 guarantees equality before the law and equal protection of the laws within India.","Incorrect. The correct answer is A: Article 14. Article 14 guarantees equality before the law and equal protection of the laws within India.","Incorrect. The correct answer is A: Article 14. Article 14 guarantees equality before the law and equal protection of the laws within India.","Incorrect. The correct answer is A: Article 14. Article 14 guarantees equality before the law and equal protection of the laws within India."
"FALLBACK-002","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Indian Polity","","The Directive Principles of State Policy are contained in which Part of the Constitution?","Part III","Part IV","Part IVA","Part V","B","Incorrect. The correct answer is B: Part IV. The Directive Principles of State Policy are contained in Part IV of the Constitution, Articles 36 to 51.","Correct. The Directive Principles of State Policy are contained in Part IV of the Constitution, Articles 36 to 51.","Incorrect. The correct answer is B: Part IV. The Directive Principles of State Policy are contained in Part IV of the Constitution, Articles 36 to 51.","Incorrect. The correct answer is B: Part IV. The Directive Principles of State Policy are contained in Part IV of the Constitution, Articles 36 to 51."
"FALLBACK-003","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","History","","Who founded the Indian National Congress in 1885 with support from early Indian leaders?","A.O. Hume","Bal Gangadhar Tilak","Dadabhai Naoroji","Gopal Krishna Gokhale","A","Correct. A.O. Hume played a key organizational role in founding the Indian National Congress in 1885.","Incorrect. The correct answer is A: A.O. Hume. A.O. Hume played a key organizational role in founding the Indian National Congress in 1885.","Incorrect. The correct answer is A: A.O. Hume. A.O. Hume played a key organizational role in founding the Indian National Congress in 1885.","Incorrect. The correct answer is A: A.O. Hume. A.O. Hume played a key organizational role in founding the Indian National Congress in 1885."
"FALLBACK-004","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","History","","The Vellore Mutiny took place in which year?","1799","1801","1806","1857","C","Incorrect. The correct answer is C: 1806. The Vellore Mutiny occurred on 10 July 1806 in Vellore, Tamil Nadu.","Incorrect. The correct answer is C: 1806. The Vellore Mutiny occurred on 10 July 1806 in Vellore, Tamil Nadu.","Correct. The Vellore Mutiny occurred on 10 July 1806 in Vellore, Tamil Nadu.","Incorrect. The correct answer is C: 1806. The Vellore Mutiny occurred on 10 July 1806 in Vellore, Tamil Nadu."
"FALLBACK-005","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Geography","","Which river is known as the Dakshin Ganga?","Krishna","Godavari","Kaveri","Narmada","B","Incorrect. The correct answer is B: Godavari. The Godavari is often called the Dakshin Ganga because of its size and importance in peninsular India.","Correct. The Godavari is often called the Dakshin Ganga because of its size and importance in peninsular India.","Incorrect. The correct answer is B: Godavari. The Godavari is often called the Dakshin Ganga because of its size and importance in peninsular India.","Incorrect. The correct answer is B: Godavari. The Godavari is often called the Dakshin Ganga because of its size and importance in peninsular India."
"FALLBACK-006","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Geography","","The Tropic of Cancer passes through how many Indian states?","6","7","8","9","C","Incorrect. The correct answer is C: 8. The Tropic of Cancer passes through 8 Indian states.","Incorrect. The correct answer is C: 8. The Tropic of Cancer passes through 8 Indian states.","Correct. The Tropic of Cancer passes through 8 Indian states.","Incorrect. The correct answer is C: 8. The Tropic of Cancer passes through 8 Indian states."
"FALLBACK-007","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Economy","","Which institution is responsible for monetary policy in India?","SEBI","RBI","NITI Aayog","Finance Commission","B","Incorrect. The correct answer is B: RBI. The Reserve Bank of India is responsible for formulating and implementing monetary policy in India.","Correct. The Reserve Bank of India is responsible for formulating and implementing monetary policy in India.","Incorrect. The correct answer is B: RBI. The Reserve Bank of India is responsible for formulating and implementing monetary policy in India.","Incorrect. The correct answer is B: RBI. The Reserve Bank of India is responsible for formulating and implementing monetary policy in India."
"FALLBACK-008","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Economy","","Gross Domestic Product measures the value of final goods and services produced within a country's boundaries during a given period. This statement is:","Correct","Incorrect","Correct only for agriculture","Correct only for government output","A","Correct. GDP measures the market value of final goods and services produced within a country's domestic territory during a specified period.","Incorrect. The correct answer is A: Correct. GDP measures the market value of final goods and services produced within a country's domestic territory during a specified period.","Incorrect. The correct answer is A: Correct. GDP measures the market value of final goods and services produced within a country's domestic territory during a specified period.","Incorrect. The correct answer is A: Correct. GDP measures the market value of final goods and services produced within a country's domestic territory during a specified period."
"FALLBACK-009","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Science","","Which vitamin is mainly synthesized in human skin on exposure to sunlight?","Vitamin A","Vitamin B12","Vitamin C","Vitamin D","D","Incorrect. The correct answer is D: Vitamin D. Ultraviolet B radiation helps the skin synthesize vitamin D.","Incorrect. The correct answer is D: Vitamin D. Ultraviolet B radiation helps the skin synthesize vitamin D.","Incorrect. The correct answer is D: Vitamin D. Ultraviolet B radiation helps the skin synthesize vitamin D.","Correct. Ultraviolet B radiation helps the skin synthesize vitamin D."
"FALLBACK-010","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Science","","The SI unit of electric current is:","Volt","Ohm","Ampere","Watt","C","Incorrect. The correct answer is C: Ampere. The ampere is the SI base unit of electric current.","Incorrect. The correct answer is C: Ampere. The ampere is the SI base unit of electric current.","Correct. The ampere is the SI base unit of electric current.","Incorrect. The correct answer is C: Ampere. The ampere is the SI base unit of electric current."
